country,quarter,gross_fixed_capital_formation,final_consumption_expenditure,gross_domestic_product,external_balance_of_goods_and_services,inflation,unemployment,working_age_population,dependency_ratio
United States,4/1/2006,878335.3,3383766.8,4099037.8,-178460.5,4.010283,4.633333,201205292.3,48.65067916
United States,7/1/2006,871763.3,3402403,4105184.5,-184749,3.335591,4.633333,201711488.5,48.63107632
United States,10/1/2006,867757,3434202.3,4140466.5,-168865,1.937332,4.433333,202217684.8,48.61147348
United States,1/1/2007,867928.8,3451752.5,4152922.5,-169147,2.424095,4.5,202723881,48.59187063
United States,4/1/2007,874264,3463188.3,4178328.5,-165894.5,2.650684,4.5,203145151,48.63576146
United States,7/1/2007,870609,3485220.8,4202396.8,-155823,2.360478,4.666667,203566421,48.67965228
United States,10/1/2007,865723.8,3500839,4228797.8,-140026.5,3.974384,4.8,203987691,48.72354311
United States,1/1/2008,854344.8,3499299,4210750.8,-135037,4.095428,5,204408961,48.76743393
United States,4/1/2008,851765.5,3510985,4235822.8,-115917.3,4.379385,5.333333,204821914,48.79414992
United States,7/1/2008,835509,3494613.5,4213573.8,-110594.5,5.302814,6,205234867,48.8208659
United States,10/1/2008,790610.8,3475971.5,4121337.5,-117257.8,1.601687,6.866667,205647820,48.84758189
United States,1/1/2009,740520.5,3479256,4074565.5,-99370.8,-0.04023253,8.266666,206060773,48.87429788
United States,4/1/2009,722620.8,3475033.5,4067286.3,-76090.3,-1.150445,9.3,206457197.5,48.89776531
United States,7/1/2009,725289.3,3495463,4081570.3,-80994.5,-1.62336,9.633333,206853622,48.92123275
United States,10/1/2009,726536.3,3495624.8,4125688.5,-82208.3,1.443934,9.933333,207250046.5,48.94470019
United States,1/1/2010,723935.5,3510580.8,4145677.5,-85457.3,2.360525,9.833333,207646471,48.96816763
United States,4/1/2010,747200.8,3535291.3,4185790.5,-100199,1.767765,9.633333,207998819.3,48.98691753
United States,7/1/2010,750096,3549572.3,4218066.5,-106698.8,1.175609,9.466666,208351167.5,49.00566743
United States,10/1/2010,759530.3,3563089,4240216,-95650.3,1.270248,9.5,208703515.8,49.02441734
United States,1/1/2011,755192.5,3566887.8,4230158,-94284.8,2.141127,9.033334,209055864,49.04316724
United States,4/1/2011,766964.5,3565975.3,4258778.5,-88036.3,3.430395,9.066667,209196396.3,49.21686012
United States,7/1/2011,790560.5,3564139.3,4257828.3,-87653.8,3.756174,9,209336928.5,49.390553
United States,10/1/2011,805963.3,3569155.8,4305645.8,-91666.3,3.293777,8.633333,209477460.8,49.56424588
United States,1/1/2012,822534.8,3589923.3,4341752.5,-88332.5,2.815192,8.266666,209617993,49.73793877
United States,4/1/2012,835039.5,3591453.8,4361131.3,-85438,1.889765,8.2,209798456.8,49.86884527
United States,7/1/2012,833421.8,3598774.3,4367412.5,-85494.5,1.697784,8.033334,209978920.5,49.99975178
United States,10/1/2012,843215.3,3604510.8,4372463,-79141.5,1.889365,7.8,210159384.3,50.13065829
United States,1/1/2013,853163,3619294.3,4415600,-75838,1.681829,7.733333,210339848,50.2615648
United States,4/1/2013,859874.3,3627252.8,4427417.8,-79871.3,1.39285,7.533333,210541508,50.3935007
United States,7/1/2013,873358.5,3634734,4465112.5,-79697.8,1.553359,7.233333,210743168,50.52543661
United States,10/1/2013,883797.3,3655887,4504036.8,-68888,1.233471,6.933333,210944828,50.65737251
United States,1/1/2014,888779,3667184,4488493.5,-82434,1.405456,6.666667,211146488,50.78930842
United States,4/1/2014,913766.5,3693867.3,4546477.8,-84965.3,2.050846,6.2,211373112.5,50.905525
United States,7/1/2014,929873,3728744.5,4601735.3,-83846.5,1.783154,6.066667,211599737,51.02174158
United States,10/1/2014,942224.8,3761820.5,4625007.8,-96321.5,1.248028,5.7,211826361.5,51.13795816
United States,1/1/2015,944408.3,3791674.3,4666655.3,-110909.3,-0.06269593,5.533333,212052986,51.25417475
United States,4/1/2015,957648,3816503.3,4695560.8,-114724.3,-0.03827201,5.433333,212250235,51.38800309
United States,7/1/2015,967611.5,3842041.3,4714354.5,-124050,0.1095034,5.1,212447484,51.52183144
United States,10/1/2015,966694.8,3859251.3,4723051.5,-126782.5,0.4662646,5.033333,212644733,51.65565978
United States,1/1/2016,976812,3886723,4750422.5,-127579.5,1.080267,4.9,212841982,51.78948813
United States,4/1/2016,981250.8,3903577.5,4765677.3,-124080.8,1.047063,4.933333,212970414.3,51.93836935
United States,7/1/2016,990245.5,3929821.8,4799484.5,-119882.8,1.117615,4.9,213098846.5,52.08725058
United States,10/1/2016,999418,3946423.3,4826088,-134295.8,1.800621,4.766667,213227278.8,52.2361318
United States,1/1/2017,1011264,3968146,4849585.8,-131274.8,2.53932,4.566667,213355711,52.38501303
United States,4/1/2017,1021880.3,3984650.3,4876737.3,-136141.5,1.901991,4.366667,213417850,52.54153014
United States,7/1/2017,1029443.3,4007047,4915191.5,-135446,1.966925,4.333333,213479989,52.69804725
United States,10/1/2017,1053829.5,4046496.3,4970588,-140466,2.117558,4.166667,213542128,52.85456436
United States,1/1/2018,1069657,4072001.3,5011019.3,-139621.8,2.214195,4.033333,213604267,53.01108147
United States,4/1/2018,1081922.5,4093294.8,5037619,-137258.3,2.711887,3.933333,213623218.5,53.17204201
United States,7/1/2018,1085621.3,4114581.8,5069038.5,-155596,2.64094,3.766667,213642170,53.33300255
United States,10/1/2018,1086077,4128296,5076218.5,-161063.5,2.203131,3.833333,213661121.5,53.4939631
United States,1/1/2019,1094165,4140462.3,5107910.3,-154841.5,1.644936,3.866667,213680073,53.65492364
United States,4/1/2019,1110829.8,4182067.5,5150568.8,-162258.5,1.811376,3.633333,214195811,53.65807005
United States,7/1/2019,1123495.8,4228870.3,5210830.5,-158743,1.757488,3.6,214711549,53.66121647
United States,10/1/2019,1121362.3,4258735.3,5246362,-140481.5,2.032914,3.6,215227287,53.66436288
